asv	id	Taxon	Confidence	KF0052	KF0053	KF0054	KF0060	KF0070	KF0077	KF0123	KF0129	KF0136	KF0147	KF0150	KF0168	KF0170	KF0177	KF0178	KF0179	KF0181	KF0182	KF0183	TB89	TB90	TB115	TB139	TB140	TB155	sumKF	sumTB	mutuals	status
ASV694	c865f115d0654e120b922ce0b51957d9	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__Fluviicola	0.949676579	0	0	4383	4659	9972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	55	0	0	0	0	19014	110	2091540	both
ASV3096	3159a63a5ad8a9908398aac32682c839	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sneathiellales; f__Sneathiellaceae; g__Sneathiella; s__uncultured_bacterium	0.948937668	0	0	0	0	0	0	114	82	2161	9	0	0	0	0	0	0	63	0	53	0	0	82	41	137	539	2482	799	1983118	both
ASV857	32ea8c5b0488300f21471ea1b79b3491	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Dokdonia	0.999999824	0	0	0	0	0	0	0	0	0	0	0	0	0	5389	4	0	0	0	0	0	0	10	316	32	0	5393	358	1930694	both
ASV3162	a1358bcb9c6b6c30fd18a813b0f39a6a	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Thalassobaculales; f__Nisaeaceae; g__Nisaea	0.99921869	0	0	1083	0	0	0	499	643	5758	198	0	0	0	0	0	0	0	0	0	0	0	103	22	56	48	8181	229	1873449	both
ASV2781	a724a09505757fc082e7f57e02503eac	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.999999698	0	0	0	0	0	0	0	0	0	0	3268	1867	0	0	0	0	58	0	2326	0	0	0	0	0	200	7519	200	1503800	both
ASV3154	223033247da4fe5317bb1d467e252d81	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingorhabdus	0.902326534	0	0	0	0	0	0	41	0	0	0	1237	0	0	0	0	0	0	0	0	0	0	42	830	98	0	1278	970	1239660	both
ASV2910	758d16fb11759df4ed4bd5f0ef0f66e7	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Roseovarius	0.927990381	0	0	0	0	0	0	0	0	3082	17	0	0	0	0	0	0	0	0	0	0	0	192	115	0	18	3099	325	1007175	both
ASV805	d43548706e896c23d341fb073b0486de	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6311	6	0	0	0	0	0	0	0	149	0	0	6317	149	941233	both
ASV2762	8b9bfe429a487450e95ba3c5c5c22746	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.99995558	0	0	0	0	0	1067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	88	0	306	106	1067	881	940027	both
ASV543	44d2fd83c5b3c58c4926e993cab4b652	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Ekhidna; s__Ekhidna_sp.	0.886830047	0	8	0	0	0	0	120	96	0	130	0	0	0	0	0	0	0	0	0	161	53	506	280	617	819	354	2436	862344	both
ASV3340	1b21d2b71f96b4a59b392aee9aa1d655	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas	0.997765275	0	0	0	0	0	11	0	0	0	0	156	0	0	0	0	0	0	0	0	53	84	3138	827	307	220	167	4629	773043	both
ASV1714	1b0c69f7a019dc6f11eda5aa7c6a0756	d__Bacteria; p__Myxococcota; c__Polyangia; o__Nannocystales; f__Nannocystaceae; g__uncultured	0.999997171	0	0	0	0	0	0	4951	4101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	21	21	9052	82	742264	both
ASV2255	c32d59abc66e3cb96123d0e1051c9452	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__Litorimonas	0.910364557	0	0	0	0	0	0	0	0	0	0	0	8	1140	0	0	0	0	0	0	0	0	235	272	47	73	1148	627	719796	both
ASV2560	3bfc39cc977c0a6a0b9f0e41142d728a	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae	0.764073486	53	1222	0	0	0	0	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	467	90	0	0	1291	557	719087	both
ASV2687	3b303ed35fc9c6fd833e07a28caa3fa4	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.999999706	0	0	0	0	0	0	705	1152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	346	0	1857	374	694518	both
ASV3330	ac4ea96e13a7bc2d0bf7146021a67a45	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Marinobacteraceae; g__Marinobacter	0.999990263	0	0	45	0	4126	476	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	129	0	0	0	4920	129	634680	both
ASV3716	bfdcb04ceb055a03128875c5324d22fb	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Nitrincolaceae	0.999787606	0	0	0	0	0	0	1607	2031	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	114	3638	166	603908	both
ASV751	234c573fbe43e10fe7c648aafb7738d7	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Cryomorphaceae; g__Vicingus	0.999999968	0	2761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	128	2761	192	530112	both
ASV1594	5d8fd08abcfc6596b68f1a6e4751c7df	d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__PB19; f__PB19; g__PB19; s__uncultured_bacterium	0.978256207	0	4	0	0	0	685	0	0	0	0	4130	0	0	1959	0	0	715	0	0	0	0	32	0	0	29	7493	61	457073	both
ASV2578	ed3f8d8f47258f6eba170105b4105acb	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Hoeflea	0.983357194	20	343	0	139	0	0	0	0	0	0	0	0	0	605	0	69	0	0	0	50	102	158	49	0	0	1176	359	422184	both
ASV974	0e9ff1e985c85de9378afc330c8d3dd6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Winogradskyella	0.787067467	0	0	0	0	0	0	0	0	0	0	0	0	0	7343	0	0	0	0	0	0	0	16	41	0	0	7343	57	418551	both
ASV2771	9639b767b60bd1709b6d23131ddd2e6f	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.999999523	0	0	0	0	0	0	0	0	0	0	205	0	0	2769	5	3511	0	0	1112	0	0	23	0	11	20	7602	54	410508	both
ASV1596	93cc5ea790525e0577db4007eeb52d35	d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__PB19; f__PB19; g__PB19; s__uncultured_bacterium	0.935916065	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	1322	0	0	151	51	12	6	36	0	1559	256	399104	both
ASV2509	550411d8a864933da10a00714d167c9e	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Parvibaculales; f__uncultured; g__uncultured	0.999999638	161	192	57	681	550	156	19	27	0	37	531	1459	266	302	0	86	259	0	0	0	0	75	0	8	0	4783	83	396989	both
ASV3155	a46c68ade453c5b8cdc418a30ff62c46	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingorhabdus	0.778073946	0	0	0	0	0	0	0	0	0	0	0	0	0	802	121	0	0	0	0	0	0	90	226	81	11	923	408	376584	both
ASV2626	00488b2185a7151bbef02a7b1a48f9ed	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.999999509	0	0	0	0	0	0	0	0	0	0	1246	0	0	0	0	0	227	0	110	0	0	14	0	17	192	1583	223	353009	both
ASV3331	f512a0d20386c284215d59f7c8725a5c	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Marinobacteraceae; g__Marinobacter	0.999802659	5895	3255	1411	122	0	0	44	0	0	0	0	0	0	0	659	0	0	0	0	0	0	30	0	0	0	11386	30	341580	both
ASV551	2707e7b0f779b0758dbb9ff9afff6ce8	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Fabibacter; s__uncultured_bacterium	0.850176893	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	532	68	47	0	0	27	0	0	442	725	469	340025	both
ASV2670	27ee076919a0db4dcbebfdadfda2b3f9	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.99969034	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	127	0	0	0	0	59	1764	113	0	172	1936	332992	both
ASV3691	483c056545721cc65b0e138aa78e48af	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae1; g__Alcanivorax; s__uncultured_Alcanivorax	0.849426514	0	12190	0	0	8521	0	0	0	0	0	414	0	0	278	0	0	0	0	0	0	0	0	0	0	15	21403	15	321045	both
ASV2650	0fdaf40406734f2318e90b3acc4ee396	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.999997811	0	0	0	0	0	0	0	0	0	0	0	0	0	1493	0	264	0	0	0	0	0	182	0	0	0	1757	182	319774	both
ASV3709	d5fdb5c2853e8b1e2150170fe0fd8e6d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Kangiellaceae; g__Aliikangiella; s__uncultured_bacterium	0.999717758	0	0	0	0	0	3	0	0	0	0	0	223	0	0	0	0	0	0	8	330	55	784	23	16	156	234	1364	319176	both
ASV916	5af53ec98c2c290633661c329f2cab52	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Muricauda; s__Flagellimonas_pacifica	0.980477804	0	0	0	123	0	0	0	0	26	11	0	0	0	2365	0	0	11	0	0	0	0	21	23	20	59	2536	123	311928	both
ASV2779	a41e4eb0370d0a492d555987eb141d89	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.999997929	0	0	0	0	0	0	1511	205	0	37	0	0	0	0	0	0	0	0	0	61	0	113	0	0	0	1753	174	305022	both
ASV1857	c4b23fb563dcbe547fb44f2c45e9e981	d__Bacteria; p__Planctomycetota; c__BD7-11; o__BD7-11; f__BD7-11; g__BD7-11; s__uncultured_bacterium	0.998099582	0	0	0	0	0	7436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	2	0	19	7436	39	290004	both
ASV2979	3e51b0fac906c035976041a2fdd9691a	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Thalassospiraceae; g__Thalassospira	1	0	0	0	0	0	0	0	0	1151	0	0	0	0	0	0	0	0	0	0	0	0	102	102	21	0	1151	225	258975	both
ASV2682	3469d6df0cd823011ed948a51da5ad48	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.999990021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	2094	0	0	40	61	19	0	2143	120	257160	both
ASV552	5469b4f52bb3f11250795aa47af5fff5	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Fabibacter; s__uncultured_bacterium	0.717898643	0	0	0	184	0	0	75	125	0	0	0	0	0	0	0	0	0	0	0	0	0	478	25	24	138	384	665	255360	both
ASV2815	c3ecb6a159f219174bcecb3221e85166	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.999505731	0	0	0	0	0	2589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	2589	95	245955	both
ASV2279	dc98908011dd90a64e42a19aad6340d3	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__uncultured; s__uncultured_Alphaproteobacteria	0.841032992	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	1079	57	23	51	178	1210	215380	both
ASV2925	40d6343cb53400951e705a6e0e4216ad	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Sulfitobacter	0.900246032	0	0	0	0	0	0	0	0	0	0	0	564	642	0	0	0	236	391	0	38	0	54	0	25	0	1833	117	214461	both
ASV2920	c3c32c0479bf4d183832a2e3cf235481	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Shimia	0.985407695	0	0	0	0	0	0	0	0	0	0	0	509	0	0	0	0	0	0	0	0	0	0	57	48	309	509	414	210726	both
ASV2757	8616319692fa7982ecaa05f3608ce678	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.999997932	0	0	0	96	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	51	44	223	42	48	497	220	905	199100	both
ASV1939	aedc24ea884dc60d1805bc0d391bb9f5	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__Algisphaera; s__Algisphaera_agarilytica	0.99040844	2560	0	0	4044	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	30	0	0	0	6606	30	198180	both
ASV2091	68ea3953a8ce623eb2f0bab5568323dc	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Rhodopirellula; s__planctomycete_str.	0.879383301	0	0	0	0	0	0	0	0	0	0	0	0	0	1036	0	0	0	0	0	0	0	0	117	60	13	1036	190	196840	both
ASV719	b6a6e3e55ffdaaaa6fb188ccfbbb8e8d	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Cryomorphaceae; g__Owenweeksia; s__uncultured_marine	0.999400307	0	0	0	0	0	0	2181	0	0	1003	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	3184	61	194224	both
ASV2497	9e92d360e5c436936b1289522b1028b8	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Parvibaculales; f__Parvibaculaceae; g__Candidatus_Phaeomarinobacter; s__Candidatus_Phaeomarinobacter	0.853836647	232	0	7	0	0	666	15	35	720	0	863	0	0	0	0	0	0	0	0	0	0	73	0	0	0	2538	73	185274	both
ASV2613	3780fe6a164d3220d49c69ffc602f2b9	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Stappiaceae; g__Labrenzia	0.994267752	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	860	0	0	0	0	0	83	81	7	27	868	198	171864	both
ASV2500	c07e3d5b7dde7c0ab2f7a8d410a8e913	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Parvibaculales; f__Parvibaculaceae; g__Pyruvatibacter; s__Pyruvatibacter_mobilis	0.851179551	0	0	0	0	0	0	0	0	0	353	0	0	0	530	0	0	0	0	0	11	18	53	22	35	50	883	189	166887	both
ASV2258	bf2895a2234a0420c6ffcbc48d1d0cc9	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__Maricaulis	0.999999653	99	0	25	0	0	17	519	1600	0	0	0	588	4181	0	0	0	882	605	55	0	0	19	0	0	0	8571	19	162849	both
ASV2907	cf378ba4d6697ac72722e6950bf91ae8	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Pseudophaeobacter	0.742721408	0	0	0	0	0	0	0	699	0	0	0	92	0	0	921	0	0	0	0	57	0	31	0	0	0	1712	88	150656	both
ASV2569	4b6800855e1ad90b092ccc1d4ee94f9c	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Cohaesibacter	0.999619347	0	0	0	125	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	80	33	291	359	404	145036	both
ASV2838	d84fadb8ae88c918e4e0348a4fa70915	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.999969984	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	467	0	581	0	0	0	0	0	127	1068	127	135636	both
ASV3163	e87d8efb98319d0684229b65bcf1b5c3	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Thalassobaculales; f__Nisaeaceae; g__Nisaea	0.999755547	0	0	0	0	0	389	0	6	0	44	0	0	0	0	0	863	480	0	222	0	0	0	12	55	0	2004	67	134268	both
ASV2919	03f1226b0ae1fa5e32e39b72c86d8571	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Shimia	0.994243756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2003	0	3553	0	0	0	0	0	0	0	24	5556	24	133344	both
ASV2617	a21f7dffc6ca5ec47e235e65f0d9261d	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Stappiaceae; g__Labrenzia	0.998075011	0	0	0	0	0	0	1523	2085	0	438	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	4046	26	105196	both
ASV3283	3022aecd3cf0ed1b4e11f5f364b31690	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Paraglaciecola	0.999553017	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	2966	0	0	14	34	2980	101320	both
ASV2532	b1685db266613fe7a211c73d7004a2f9	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Maritalea	0.999999934	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	72	103	54	63	106	63	212	461	97732	both
ASV3506	5e7c2cc511aa40ee07e1b461e1da5a81	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Halioglobus	0.742053383	0	0	0	0	0	0	1804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	10	0	0	1804	54	97416	both
ASV877	cd8797296b0d85ab7baad61b325df2d9	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Hyunsoonleella	0.999612825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	67	199	13	0	307	279	85653	both
ASV1942	a5f234c937295330afe272beecacd94c	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__Algisphaera; s__uncultured_bacterium	0.999875489	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	327	0	0	260	327	85020	both
ASV2249	46b45864b220a4c1be99188ec8a9feb3	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__Hyphomonas	0.999598715	0	0	0	0	0	545	0	0	0	333	0	0	0	262	0	525	0	0	0	0	0	0	48	0	0	1665	48	79920	both
ASV1972	5604af0fe8d4eb44eb74934d9e49c174	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__SM1A02; s__Nannochloropsis_gaditana	0.999998662	0	0	0	0	0	0	111	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	29	0	156	470	73320	both
ASV582	aef2d0315f579d3e34ca9c06ed461aa8	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Reichenbachiella	0.999999999	8	541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	549	120	65880	both
ASV2629	02301f7d1e08451a4244ccf9407ca8a8	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.999999924	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	443	1207	448	55	24	2426	58224	both
ASV304	e78e82b9c432a4d7eb6f72ba74a50d46	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__Lewinella; s__uncultured_Bacteroidetes	0.98461863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	838	0	0	0	0	67	0	0	0	838	67	56146	both
